gene,logFC,logCPM,LR,PValue,FDR
ENSG00000181234.10,-0.714913556,-1.848188081,4.488979188,0.034114042,0.995853392
ENSG00000204603.7,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000223576.2,-3.823096955,-4.816748594,6.332659526,0.011853443,0.995853392
ENSG00000235205.1,-3.560549046,-4.899938097,4.980264172,0.025638068,0.995853392
ENSG00000229558.2,-1.675341023,-3.998238905,5.586331309,0.018101169,0.995853392
ENSG00000290660.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000123171.8,-2.632532994,-4.504599038,4.466893367,0.03455777,0.995853392
ENSG00000227969.1,-3.808130862,-4.817424261,4.09438151,0.043025969,0.995853392
ENSG00000224933.2,-2.454264103,-4.153019706,8.685481963,0.003207547,0.995853392
ENSG00000234377.8,-2.387014465,-4.581789441,4.872104357,0.027294198,0.995853392
ENSG00000230156.3,-3.518022864,-4.905251114,4.877673433,0.027206266,0.995853392
ENSG00000233644.1,-2.050281788,-4.048686531,7.394876182,0.006540993,0.995853392
ENSG00000238344.1,-3.528186561,-4.903933651,4.902409885,0.026819244,0.995853392
ENSG00000221977.3,-3.538380996,-4.902615314,4.927341888,0.02643495,0.995853392
ENSG00000211780.3,-2.564791571,-4.516515169,5.668216312,0.017275013,0.995853392
ENSG00000211799.3,-4.612844548,-4.51549974,10.73424175,0.001051711,0.995853392
ENSG00000211840.1,-3.544318955,-4.901936967,4.941082552,0.026225606,0.995853392
ENSG00000100884.10,-3.55456837,-4.900617246,4.966331333,0.025845412,0.995853392
ENSG00000100448.4,-3.799240385,-4.820034638,5.914850688,0.015013775,0.995853392
ENSG00000258525.2,-0.754684196,-2.008186432,4.0066991,0.045319796,0.995853392
ENSG00000240023.1,-1.574597465,-4.046246697,4.187439352,0.040724565,0.995853392
ENSG00000259017.1,-3.518022864,-4.905251114,4.877673433,0.027206266,0.995853392
ENSG00000276168.1,-1.017932893,3.285497825,4.20001489,0.040423624,0.995853392
ENSG00000258694.1,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000258926.2,-3.538380996,-4.902615314,4.927341888,0.02643495,0.995853392
ENSG00000258769.1,-3.011702247,-4.320777788,9.452530432,0.00210858,0.995853392
ENSG00000258646.1,-2.08800969,-4.32290198,5.5836247,0.018129163,0.995853392
ENSG00000206924.1,-3.522291259,-4.904611197,4.888858374,0.027030554,0.995853392
ENSG00000119715.15,-0.841888845,-2.427246635,5.030536531,0.024904182,0.995853392
ENSG00000187581.3,-2.604115365,-4.506535938,4.949596827,0.026096754,0.995853392
ENSG00000196136.18,-1.954307744,-3.860322951,6.313044852,0.011985283,0.995853392
ENSG00000242888.1,-3.799596005,-4.81872987,5.248518666,0.021965463,0.995853392
ENSG00000272533.1,-2.724637712,-4.44924859,6.562803757,0.010413217,0.995853392
ENSG00000291259.1,-0.938967272,-3.075021799,4.419604583,0.035528269,0.995853392
ENSG00000254398.1,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000259772.8,-1.88163074,-3.695292091,7.244698115,0.007111067,0.995853392
ENSG00000262728.6,-1.487710157,-3.588315436,5.641663435,0.017538559,0.995853392
ENSG00000184507.17,-5.3760552,-4.109251099,15.09989382,0.000101969,0.995853392
ENSG00000259380.6,-3.538380996,-4.902615314,4.927341888,0.02643495,0.995853392
ENSG00000243708.11,-1.650943816,-3.822126041,6.503757356,0.010764677,0.995853392
ENSG00000260170.1,-4.626149338,-4.51230699,11.01538455,0.000903588,0.995853392
ENSG00000200120.1,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
